word,antonim
mendongak,menunduk
mendongakkan,menundukkan
mendorong,"menarik, melemahkan"
mendukacitakan,menyukacitakan
mendung,cerah
mendungukan,memandaikan
menebal,"menipis, melemah"
menebalkan,"menyamarkan, menjarangkan, menipiskan, melemahkan"
menegah,"mengizinkan, membebaskan"
menegang,mengendur
menelanjangi,menutup
menelantarkan,memelihara
menempelkan,mencopot
menemui,meninggalkan
menengahi,mengadukan
menentang,menurut
menenteramkan,memperunyam
menepati,memungkiri
menerangi,"menggelapi, menyesatkan"
menerikkan,melonggarkan
menerima,"memberi, dan, menolak"
menertibkan,memberantakkan
mengabadikan,memusnahkan
mengabaikan,memperhatikan
mengabsahkan,mengilegalkan
mengacak-acak,merapikan
mengacuhkan,mengabaikan
mengadakan,meniadakan
mengagung-agungkan,merendahkan
mengagungkan,"mengecilkan, menghinakan"
mengairi,mengeringkan
mengajar,mempelajari
mengakhiri,"memulai, mengawali"
mengakhirkan,mengawalkan
mengakrabkan,merenggangkan
mengaktifkan,memasifkan
mengakui,memungkiri
mengamankan,"mengacaukan, membebaskan"
mengambang,melepaskan
mengambil,"menyimpan, menggulingkan, menjatuhkan, menjungkalkan, mengudeta, mengkup, , menunggingkan, merebahkan, "
mengangah,padam
mengangguk-angguk,menggeleng-geleng
mengantarai,merapatkan
mengap,terkatup
mengapung,tenggelam
mengapungkan,menenggelamkan
mengasah,menumpulkan
mengasingkan,menyatukan
mengatur,merusak
mengawali,mengakhiri
mengawalkan,mengakhirkan
mengayakan,memiskinkan
mengazabkan,menikmatkan
mengecil,membesar
mengecilkan,membesarkan
mengeluarkan,memasukkan
mengemas,membongkar
mengembung,mengempis
mengempis,mengembung
mengemudiankan,menyegerakan
mengenangkan,melupakan
mengencangkan,melambatkan
mengendalakan,membebaskan
mengentalkan,mencairkan
mengeratkan,merenggangkan
mengetatkan,melonggarkan
mengetepikan,"mengetengahkan, mengutamakan"
menggabungkan,memisahkan
menggadaikan,menebus
menggampangkan,mempersulit
menggarang,menjinakkan
menggembirakan,menyedihkan
menggunduli,menanami
menghabiskan,menyisakan
menghalalkan,mengharamkan
menghampiri,menjauhi
mengharamkan,menghalalkan
mengharumkan,membusukkan
menghebat,mereda
menghela,menolak
menghembus,mengisap
menghentikan,menjalankan
menghidupkan,memadamkan
menghujat,memuji
menghunjamkan,menghunuskan
menghunus,menghunjam
menghutankan,menggunduli
mengizinkan,melarang
mengkal,ranum
mengotori,membersihkan
mengsol,lurus
mengundurkan,memajukan
mengungkapkan,menutupi
menguntungkan,merugikan
mengurangi,menambah
mengurangkan,menambahkan
menguruk,menggali
mengurutkan,mengacak
mengutamakan,"membelakangkan, menomorduakan"
mengutang,membayar
meniadakan,mengadakan
meniarap,menelentang
meniarapkan,menelentangkan
menidakkan,mengiyakan
meniduri,membangunkan
menikahkan,menceraikan
meninggi,merendah
meninggikan,merendahkan
meningkat,menurun
meningkatkan,menurunkan
menipis,menebal
menitip(kan),mengambil
menjatuhkan,melambungkan
menjawab,bertanya
menolak,"menarik, menerima"
menolong,membiarkan
menonaktifkan,mengaktifkan
mentah,matang
menumpas,menumbuhkan
menunaikan,mencicil
menuntaskan,menunda
menurunkan,menaikkan
menusuk,mencabut
menyalahkan,membenarkan
menyarak,rujuk
menyarungkan,"mengeluarkan, mendedahkan"
menyasap,"menanam, menambah"
menyasarkan,mengundurkan
menyatukan,memisahkan
menyawar,membiarkan
menyayangi,membenci
menyayukan,menggembirakan
menyebalkan,menyenangkan
menyebar,menyatu
menyebarkan,menyatukan
menyedihkan,menggembirakan
menyelesaikan,memulai
menyenangi,membenci
menyengsarakan,menyenangkan
menyepelekan,membesar-besarkan
menyeragamkan,membedakan
menyerah,melawan
menyerang,menahan
menyetop,"menjalankan, memulai"
menyetujui,menolak
menyewa,membeli
menyingkat,memanjangkan
menyita,memberi
menyorong,menarik
menyulitkan,memudahkan
menyusahkan,meringankan
meragukan,meyakinkan
merahmati,melaknati
merampingkan,menggemukkan
merampungkan,menyisakan
merana,sehat
meranda,menduda
merapikan,memberantakkan
merdesa,merana
merdu,sumbang
merem,melek
meriah,"sepi, sunyi"
merugikan,untung
mesum,senonoh
meta,"rendah, hati, tawadu"
metaforis,denotatif
mewah,sederhana
meyakinkan,"meragukan, menyangsikan"
mikrokosmos,makrokosmos
militer,sipil
mini,maksi
minimal,maksimal
minimum,maksimum
minor,mayor
miring,"tegak, waras"
miskin,kaya
modern,kuno
modis,"ketinggalan, zaman"
mondial,spasial
monolog,dialog
moral,amoral
morat-marit,rapi
mortalitas,natalitas
muai,menciut
muda,tua
mudah,"susah, sukar, sulit"
mufrad,jamak
mujur,"sial, apes"
muka,belakang
mukados,kotor
mukhlis,curang
muktabar,hina
mula,"akhir, terakhir"
mulia,hina
multipel,simpel
multiplisitas,kehomogenan
mulur,mengerut
mulus,bopeng
mumpuni,bodoh
mumuk,padat
munafik,jujur
muncul,tenggelam
mundur,maju
mungkir,"patuh, setia"
munjung,datar
murah,mahal
muram,"ceria, cerah, berseri"
murid,"guru, mursyid"
murung,"senang, hati"
murup,"padam, sirep"
muskil,mungkin
mustahak,mudarat
mustahil,munasabah
musuh,"teman, kawan"
mutlak,"relatif, moderat"
mutung,semangat
muwalat,"berantara, berselang"
nahas,beruntung
naik,turun
najis,suci
nakal,"alim, patuh"
nanti,"sekarang, kini"
nasional,internasional
negatif,positif
neto,bruto
nikah,bercerai
nini,aki
nirwana,neraka
niskala,nyata
nona,tuan
nonaktif,aktif
normal,"abnormal, taknormal"
nyalang,"terkatup, terpejam"
objektif,subjektif
objektivitas,subjektivitas
obsolet,baru
ogah,mau
om,tante
oma,opa
opa,oma
open,ceroboh
optimistis,pesimistis
orang tua,anak
orisinal,"imitasi, tiruan"
otentik,"palsu, imitasi"
otomatis,manual
pacak,amatir
padam,menyala
padat,"lembek, lunak"
pailit,maju
pakcik,makcik
pakde,paklik
pakem,blong
paklik,pakde
palak,sabar
palsu,"asli, legal"
paman,"pakde, uak"
panas,dingin
